id,成交日期,成交年月_民國,成交年月_西元,樓層,總樓層,單價_萬每坪_不含車位,原始單價_萬每坪_含車位,房屋總價_萬_不含車位,車位總價_萬,成交總價_萬_含車位,房屋坪數_坪_不含車位,車位坪數_坪,總坪數_坪_含車位,車位數,車位類型,房型,特殊交易,特殊交易說明,樓層標籤,地址,建案名稱,來源網址
9152085,2026-04-20,115-04,2026-04,8,23,54.8,51.9,3640,200,3840,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7523983,2026-03-31,115-03,2026-03,13,23,58.0,53.4,4370,460,4830,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7398141,2026-03-08,115-03,2026-03,12,23,54.2,51.2,3598,190,3788,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7356443,2026-02-09,115-02,2026-02,21,23,54.5,52.0,3740,220,3960,68.6,7.6,76.2,1,平面車位,0房0廳,是,親友、員工、共有人或其他特殊關係間之交易；,高樓層、平面車位、特殊交易,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7356447,2026-02-07,115-02,2026-02,21,23,54.7,52.1,3633,220,3853,66.4,7.6,74.0,1,平面車位,0房0廳,是,親友、員工、共有人或其他特殊關係間之交易；,高樓層、平面車位、特殊交易,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7356445,2026-02-07,115-02,2026-02,7,23,54.1,51.3,3595,200,3795,66.4,7.6,74.0,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6968960,2025-05-07,114-05,2025-05,16,23,55.7,51.1,4200,420,4620,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6938798,2025-04-02,114-04,2025-04,11,23,54.3,51.3,3608,190,3798,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6927389,2025-03-21,114-03,2025-03,3,23,53.0,50.1,3518,190,3708,66.4,7.6,74.0,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6908053,2025-03-05,114-03,2025-03,16,23,53.8,50.8,3571,190,3761,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6875508,2025-02-10,114-02,2025-02,5,23,53.7,50.8,3565,190,3755,66.4,7.6,74.0,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6875399,2025-01-06,114-01,2025-01,20,23,55.7,52.6,3698,190,3888,66.4,7.6,74.0,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6847994,2025-01-04,114-01,2025-01,18,23,54.8,52.0,3638,210,3848,66.4,7.6,74.0,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6838534,2024-12-24,113-12,2024-12,17,23,54.9,52.1,3644,210,3854,66.4,7.6,74.0,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6777487,2024-11-02,113-11,2024-11,22,23,54.0,51.2,3587,200,3787,66.4,7.6,74.0,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6765975,2024-10-27,113-10,2024-10,8,23,51.4,46.5,3412,380,3792,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6726523,2024-09-21,113-09,2024-09,7,23,52.0,47.5,3920,380,4300,75.3,15.1,90.4,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6714316,2024-09-18,113-09,2024-09,10,23,50.3,45.9,3338,400,3738,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6714198,2024-09-11,113-09,2024-09,8,23,51.8,47.3,3900,380,4280,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6675959,2024-08-13,113-08,2024-08,12,23,51.0,46.5,3389,400,3789,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6659398,2024-08-09,113-08,2024-08,4,23,51.4,46.7,3526,380,3906,68.6,15.1,83.7,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6659399,2024-08-03,113-08,2024-08,20,23,54.4,51.9,3731,220,3951,68.6,7.6,76.2,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6659400,2024-08-01,113-08,2024-08,11,23,50.5,45.8,3354,380,3734,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6641813,2024-07-28,113-07,2024-07,14,23,52.4,47.7,3950,360,4310,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6641816,2024-07-28,113-07,2024-07,14,23,48.8,44.1,3239,360,3599,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6641811,2024-07-27,113-07,2024-07,12,23,52.0,47.3,3918,360,4278,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6641817,2024-07-23,113-07,2024-07,19,23,52.5,47.2,3486,360,3846,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6641812,2024-07-23,113-07,2024-07,4,23,49.4,45.2,3388,400,3788,68.6,15.1,83.7,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6641814,2024-07-22,113-07,2024-07,6,23,48.9,46.6,3246,200,3446,66.4,7.6,74.0,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6641815,2024-07-21,113-07,2024-07,9,23,51.3,46.2,3405,360,3765,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6625314,2024-07-15,113-07,2024-07,20,23,54.8,52.0,3758,200,3958,68.6,7.6,76.2,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6608038,2024-07-07,113-07,2024-07,13,23,51.3,46.6,3410,390,3800,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6608037,2024-07-06,113-07,2024-07,5,23,51.1,46.9,3848,390,4238,75.3,15.1,90.4,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6592017,2024-06-29,113-06,2024-06,16,23,49.5,44.7,3286,360,3646,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6592016,2024-06-27,113-06,2024-06,23,23,54.0,51.2,3703,200,3903,68.6,7.6,76.2,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6592015,2024-06-26,113-06,2024-06,13,23,51.0,46.5,3497,400,3897,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6592014,2024-06-25,113-06,2024-06,15,23,49.2,45.0,3270,400,3670,66.4,15.1,81.5,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6592013,2024-06-22,113-06,2024-06,7,23,49.7,47.5,3748,190,3938,75.3,7.6,82.9,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6574460,2024-06-13,113-06,2024-06,2,23,50.7,46.3,3480,400,3880,68.6,15.1,83.7,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6553781,2024-06-02,113-06,2024-06,19,23,51.5,47.0,3535,400,3935,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6536942,2024-05-28,113-05,2024-05,13,23,49.5,47.5,3730,210,3940,75.3,7.6,82.9,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6536940,2024-05-25,113-05,2024-05,5,23,48.2,43.8,3309,360,3669,68.6,15.1,83.7,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6536939,2024-05-24,113-05,2024-05,21,23,52.4,48.0,3597,420,4017,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6536937,2024-05-21,113-05,2024-05,22,23,52.3,49.9,3590,210,3800,68.6,7.6,76.2,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6536938,2024-05-21,113-05,2024-05,14,23,50.0,45.8,3433,400,3833,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6517057,2024-05-18,113-05,2024-05,7,23,47.5,45.4,3155,200,3355,66.4,7.6,74.0,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6516536,2024-05-16,113-05,2024-05,17,23,51.1,46.2,3508,360,3868,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6516535,2024-05-12,113-05,2024-05,6,23,47.9,44.2,3610,388,3998,75.3,15.1,90.4,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6516537,2024-05-12,113-05,2024-05,5,23,48.1,44.2,3300,400,3700,68.6,15.1,83.7,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6501024,2024-05-09,113-05,2024-05,12,23,49.3,45.2,3386,400,3786,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6482683,2024-04-27,113-04,2024-04,7,23,48.7,44.7,3343,400,3743,68.6,15.1,83.7,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
